,Personal Data,,,,,,,,Electoral Data,,,,,,,,,,,,Endorsement Data,,,,,,,,,Misc. Stuff
Candidate,Gender,Race 1,Race 2,Race 3,Big Lie,Big Lie Date,Big Lie Recanvasser,Big Lie Notes,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,Primary Votes,Primary %,Primary Outcome,Runoff Votes,Runoff %,Runoff Outcome,Trump,Trump Date,Club for Growth,Party Committee,Renew America,E-PAC,VIEW PAC,Maggie's List,Winning for Women,Notes
Rick Crawford,Male,White,,,Yes,12/1/2022,N/A (checked against interactive),Voted to overturn election,Yes,No,Arkansas,5/24/2022,Representative,1,"64,102",75%,Won,N/A,N/A,N/A,Yes,10/7/2021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jody Shackelford,Male,White,,,N/A,5/9/2022,N/A (they are N/A),,No,Yes,Arkansas,5/24/2022,Representative,1,"9,837",11%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Brandt Smith,Male,White,,,Yes,3/6/2023,Kaleigh,Signed onto a letter claiming 2020 election was fraudulent,No,Yes,Arkansas,5/24/2022,Representative,1,"11,981",14%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Conrad Reynolds,Male,White,,,Yes,2/28/2023,Nathaniel,Says election was stolen,No,Yes,Arkansas,5/24/2022,Representative,2,"35,078",41%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
French Hill,Male,White,,,No,12/1/2022,N/A (checked against interactive),Voted to certify election,Yes,No,Arkansas,5/24/2022,Representative,2,"49,488",59%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Steve Womack,Male,White,,,No,12/1/2022,N/A (checked against interactive),Voted to certify election,Yes,No,Arkansas,5/24/2022,Representative,3,"60,814",79%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Neil Robinson Kumar,Male,White,Asian,,Yes,3/6/2023,Kaleigh,"Believes 2020 election was a ""coup""",No,Yes,Arkansas,5/24/2022,Representative,3,"16,414",21%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Bruce Westerman,Male,White,,,No?,12/1/2022,N/A (checked against interactive),"Supports investigating election fraud allegations, but voted to certify election",Yes,No,Arkansas,5/24/2022,Representative,4,1,100%,Won,N/A,N/A,N/A,Yes,5/21/2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"Francis ""Doc"" Washburn",Male,White,,,Yes,5/9/2022,Maya,"""Washburn said there is no question that the 2020 presidential election was stolen from Trump.""",No,No,Arkansas,5/24/2022,Governor,N/A,"58,638",17%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
Sarah Huckabee Sanders,Female,White,,,?,12/1/2022,N/A (checked against interactive),"Unsure how much fraud was in 2020 election, supports improving election integrity",No,No,Arkansas,5/24/2022,Governor,N/A,"289,249",83%,Won,N/A,N/A,N/A,Yes,1/25/2021,N/A,N/A,N/A,N/A,N/A,Yes,N/A,
Gary W. Black,Male,White,,,?,2/28/2023,Nathaniel,Says he doesn't know if 2020 election was fair but that Georgia was a mess (begins 41:40),No,No,Georgia,5/24/2022,Senator,N/A,"157,370",13%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Josh Clark,Male,White,,,Yes,3/6/2023,Kaleigh,Says 2020 election was stolen in Georgia,No,No,Georgia,5/24/2022,Senator,N/A,"46,693",4%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kelvin King,Male,Black,,,Declined to answer,5/9/2022,Maya,"""I don't know what happened in terms of improprieties""",No,No,Georgia,5/24/2022,Senator,N/A,"37,930",3%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"Jonathan ""Jon"" McColumn",Male,Black,,,N/A,5/9/2022,N/A (they are N/A),,No,No,Georgia,5/24/2022,Senator,N/A,"28,601",2%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Latham Saddler,Male,White,,,?,2/28/2023,Nathaniel,Raised questions about 2020 election results,No,No,Georgia,5/24/2022,Senator,N/A,"104,471",9%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Herschel Junior Walker,Male,Black,,,?,12/1/2022,N/A (checked against interactive),"Said election was stolen immediately after 2020; moderated as a candidate. Said in April he didn't know (which led to Jean's original classification of ""Declined to answer""). Last comment was in May, just before primary: ""everyone knows that something happened in the election. ... I think something happened. I don't know what it was.""",No,No,Georgia,5/24/2022,Senator,N/A,"803,560",68%,Won,N/A,N/A,N/A,Yes,9/2/2021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"Earl L. ""Buddy"" Carter",Male,White,,,No?,12/1/2022,N/A (checked against interactive),"Now acknowledges Biden as victor and doesn't believe there was voter fraud, previously voted to overturn election",Yes,No,Georgia,5/24/2022,Representative,1,1,100%,Won,N/A,N/A,N/A,Yes,5/21/2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Vivian L. Childs,Male,Black,,,N/A,5/9/2022,N/A (they are N/A),,No,No,Georgia,5/24/2022,Representative,2,"3,986",6%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,
Jeremy Hunt,Male,Black,,,N/A,6/9/2022,N/A (they are N/A),,No,No,Georgia,5/24/2022,Representative,2,"22,923",37%,Made runoff,13875,49%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
Wayne Johnson,Male,White,,,Yes,3/6/2023,Kaleigh,Believes Trump won Georgia in 2020 (starts 47:05),No,No,Georgia,5/24/2022,Representative,2,"11,574",19%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
Rich Robertson,Male,White,,,N/A,5/12/2022,Maya,Has concerns about election integrity,No,No,Georgia,5/24/2022,Representative,2,"2,832",5%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
Chris West,Male,White,,,?,12/1/2022,N/A (checked against interactive),"""The election fraud was real (on a local level) in 2020 in certain areas.""",No,No,Georgia,5/24/2022,Representative,2,"18,658",30%,Made runoff,14622,51%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
Paul Whitehead,Male,White,,,N/A,5/12/2022,N/A (they are N/A),,No,No,Georgia,5/24/2022,Representative,2,"2,037",3%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
Jared Craig,Male,White,,,Yes,2/28/2023,Nathaniel,"""TRUMP WON 2020!""",No,Yes,Georgia,5/24/2022,Representative,3,"20,175",17%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Drew Ferguson,Male,White,,,No?,12/1/2022,N/A (checked against interactive),"Voted to certify election, but supported Texas lawsuit overturning election (was previously ""?"" on that same basis)",Yes,No,Georgia,5/24/2022,Representative,3,"96,314",83%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jonathan Chavez,Male,White,,,N/A,12/1/2022,N/A (checked against interactive),"Had been ""?"" based on Jan. 6 sympathies, but I don't think he actually says anything about fraud here.",No,No,Georgia,5/24/2022,Representative,4,"21,924",78%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Surrea Ivy,Female,Black,,,N/A,5/12/2022,N/A (they are N/A),,No,No,Georgia,5/24/2022,Representative,4,"6,078",22%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Christian Zimm,Male,White,,,N/A,12/1/2022,N/A (checked against interactive),,No,No,Georgia,5/24/2022,Representative,5,1,100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jake Evans,Male,White,,,?,3/8/2023,Kaleigh,"Said 2020 election had widespread election fraud and we'll never know true election outcome, repeated claim about widespread election fraud in recent interview (starts 44:28)",No,No,Georgia,5/24/2022,Representative,6,"26,160",23%,Made runoff,13808,33%,Lost,Yes,5/5/2022,No,N/A,N/A,N/A,N/A,No,N/A,
Byron Gatewood,Male,White,,,Declined to answer,5/12/2022,Maya,"""We're never gonna know what happened on election night"" (starts 43:30)",No,No,Georgia,5/24/2022,Representative,6,"3,358",3%,Lost,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,N/A,No,N/A,
Meagan Hanson,Female,White,,,?,3/2/2023,Nathaniel,"Has not personally seen evidence of enough fraud to conclude entire election was stolen, but has seen evidence that gives her concerns about election integrity (starts 42:18)",No,No,Georgia,5/24/2022,Representative,6,"9,539",8%,Lost,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,N/A,No,N/A,
Blake Harbin,Male,White,,,?,3/8/2023,Kaleigh,Said he witnessed fraud in 2020 election (starts 41:09),No,No,Georgia,5/24/2022,Representative,6,"4,171",4%,Lost,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,N/A,No,N/A,
Rich McCormick,Male,White,,,Yes,12/1/2022,N/A (checked against interactive),"Blames voter fraud for own loss in 2020, still has not conceded (starts 40:09)",No,No,Georgia,5/24/2022,Representative,6,"48,967",43%,Made runoff,27455,67%,Won,No,N/A,Yes,N/A,N/A,N/A,N/A,No,N/A,
Paulette Smith,Female,Black,,,Yes,5/12/2022,Maya,"""Yes, I believe a hundred percent that the race was stolen"" (starts 38:53)",No,No,Georgia,5/24/2022,Representative,6,"1,123",1%,Lost,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,N/A,No,N/A,
Mallory Staples,Female,White,,,Yes,3/2/2023,Nathaniel,"""Yes, I do believe the 2020 election was stolen"" (starts 37:52)",No,No,Georgia,5/24/2022,Representative,6,"10,178",9%,Lost,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,N/A,No,N/A,
Suzi Voyles,Female,White,,,?,3/8/2023,Kaleigh,Believes there was significant fraud in 2020 election (starts 36:52),No,No,Georgia,5/24/2022,Representative,6,"2,646",2%,Lost,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,N/A,Yes,N/A,
Eugene Yu,Male,Asian (Korean),,,Yes,5/12/2022,Maya,"""Absolutely the 2020 election was stolen"" (starts 36:00)",No,No,Georgia,5/24/2022,Representative,6,"7,411",7%,Lost,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,N/A,No,N/A,
Michael Corbin,Male,White,,,N/A,6/9/2022,N/A (they are N/A),,No,No,Georgia,5/24/2022,Representative,7,"18,637",41%,Made runoff,3666,30%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mark Gonsalves,Male,White,,,Yes,12/1/2022,N/A (checked against interactive),Calls election stolen,No,No,Georgia,5/24/2022,Representative,7,"12,477",27%,Made runoff,8591,70%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Lisa McCoy,Female,White,,,N/A,5/12/2022,N/A (they are N/A),,No,No,Georgia,5/24/2022,Representative,7,"6,380",14%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Y.G. Nyghtstorm,Male,Black,,,Yes,3/2/2023,Nathaniel,Attended rally calling for decertification of election results,No,No,Georgia,5/24/2022,Representative,7,"3,510",8%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mary West,Female,White,,,N/A,5/12/2022,N/A (they are N/A),,No,No,Georgia,5/24/2022,Representative,7,"4,370",10%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Austin Scott,Male,White,,,No?,12/1/2022,N/A (checked against interactive),"Voted to certify election, but supported Texas lawsuit to overturn election

Nathaniel note, 8/16: To me this is a ""No?"" because the certification vote happened after the amicus brief, overriding it (but not completely)",Yes,No,Georgia,5/24/2022,Representative,8,1,100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Michael Boggus,Male,White,,,N/A,5/12/2022,N/A (they are N/A),,No,Yes,Georgia,5/24/2022,Representative,9,"4,230",4%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Andrew Clyde,Male,White,,,Yes,12/1/2022,N/A (checked against interactive),Voted to overturn election,Yes,No,Georgia,5/24/2022,Representative,9,"90,535",76%,Won,N/A,N/A,N/A,Yes,12/20/2021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
J. Gregory Howard,Male,White,,,N/A,5/12/2022,N/A (they are N/A),,No,Yes,Georgia,5/24/2022,Representative,9,"3,463",3%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
John London,Male,White,,,N/A,5/12/2022,N/A (they are N/A),,No,Yes,Georgia,5/24/2022,Representative,9,"2,359",2%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Ben Souther,Male,White,,,N/A,3/8/2023,Kaleigh,Has concerns about election integrity,No,Yes,Georgia,5/24/2022,Representative,9,"17,922",15%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Timothy Barr,Male,White,,,Yes,3/2/2023,Nathaniel,Supported voting to overturn election results,No,No,Georgia,5/24/2022,Representative,10,"16,007",14%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Paul Broun,Male,White,,,Yes,3/8/2023,Kaleigh,"Advanced voter fraud conspiracies, did not oppose host saying he did consider 2020 election to be fraudulent (starts 41:20)",No,No,Georgia,5/24/2022,Representative,10,"14,901",13%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mike Collins,Male,White,,,Yes,12/1/2022,N/A (checked against interactive),"""you count the legal votes in the state of Georgia, Donald Trump won"" (starts 21:15)",No,No,Georgia,5/24/2022,Representative,10,"28,741",26%,Made runoff,30536,74%,Won,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
David Curry,Male,White,,,?,5/12/2022,Maya,"Says ""The fact is, we don't know what happened"" but supports conspiracy that the number of missing ballots exceeded Biden's vote margin (starts 5:29); website states 2020 election could've. had significant fraud.  Says he trusts the upcoming election.",No,No,Georgia,5/24/2022,Representative,10,"10,557",9%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Vernon J. Jones,Male,Black,,,Yes,3/2/2023,Nathaniel,"""the election was stolen from Trump""",No,No,Georgia,5/24/2022,Representative,10,"24,165",22%,Made runoff,10469,26%,Lost,Yes,5/3/2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Marc McMain,Male,White,,,Yes,3/8/2023,Kaleigh,"Says it's ""very likely"" election was stolen in Georgia, but ""we have no clue what's taken place"" (starts 7:05)",No,No,Georgia,5/24/2022,Representative,10,"5,222",5%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Alan Sims,Male,White,,,N/A,5/12/2022,N/A (they are N/A),"No clear position on 2020 election, but website mentions election integrity",No,No,Georgia,5/24/2022,Representative,10,"7,388",7%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mitchell Swan,Male,White,,,Declined to answer,5/12/2022,Maya,"""what happened, we don’t know"" (starts 6:34)",No,No,Georgia,5/24/2022,Representative,10,"5,184",5%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Barry Loudermilk,Male,White,,,Yes,12/1/2022,N/A (checked against interactive),Voted to overturn election,Yes,No,Georgia,5/24/2022,Representative,11,1,100%,Won,N/A,N/A,N/A,Yes,5/21/2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Rick W. Allen,Male,White,,,Yes,12/1/2022,N/A (checked against interactive),Voted to overturn election,Yes,No,Georgia,5/24/2022,Representative,12,1,100%,Won,N/A,N/A,N/A,Yes,5/21/2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Caesar Gonzales,Male,Latino,,,Yes,12/1/2022,N/A (checked against interactive),"Called election ""stolen""",No,No,Georgia,5/24/2022,Representative,13,"12,659",57%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Dominika Hawkins,Female,Black,,,N/A,3/2/2023,Nathaniel,Has concerns about election integrity,No,No,Georgia,5/24/2022,Representative,13,"4,450",20%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Calina Plotky,Female,White,Latino (Brazilian),,N/A,5/12/2022,N/A (they are N/A),,No,No,Georgia,5/24/2022,Representative,13,"5,022",23%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Eric Cunningham,Male,White,,,Yes,3/8/2023,Kaleigh,Says he would have voted against certifying election results,No,Yes,Georgia,5/24/2022,Representative,14,"6,390",6%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,
Marjorie Taylor Greene,Female,White,,,Yes,12/1/2022,N/A (checked against interactive),Believes Biden lost the election; previously made contradictory statements,Yes,No,Georgia,5/24/2022,Representative,14,"72,215",70%,Won,N/A,N/A,N/A,Yes,4/6/2022,N/A,N/A,No,N/A,No,N/A,N/A,
James Haygood,Male,White,,,No?,5/12/2022,Maya,"Said Biden's election has been certified, but ""There are many questions I’d look into""",No,Yes,Georgia,5/24/2022,Representative,14,"3,790",4%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,
Charles Lutin,Male,White,,,No,3/2/2023,Nathaniel,Says it's clear Biden won by a significant margin,No,Yes,Georgia,5/24/2022,Representative,14,"2,304",2%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,
Jennifer Strahan,Female,White,,,No,3/8/2023,Kaleigh,"Says ""Biden is our president"" but has concerns about election integrity",No,Yes,Georgia,5/24/2022,Representative,14,"17,595",17%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,
Seth Synstelien,Male,White,,,No,5/12/2022,Maya,Says there's no evidence that voter fraud influenced outcome of election,No,Yes,Georgia,5/24/2022,Representative,14,"1,547",1%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,
Catherine Davis,Female,Black,,,Yes,3/2/2023,Nathaniel,Calls 2020 election stolen,No,Yes,Georgia,5/24/2022,Governor,N/A,"9,788",1%,Lost,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Brian Kemp,Male,White,,,No?,12/1/2022,N/A (checked against interactive),"Signed off on certifying Georgia's election results but says there were inconsistencies, called for audit",Yes,No,Georgia,5/24/2022,Governor,N/A,"888,078",74%,Won,N/A,N/A,N/A,No,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
David A. Perdue,Male,White,,,Yes,3/8/2023,Kaleigh,"""the election in 2020 was rigged and stolen""",No,Yes,Georgia,5/24/2022,Governor,N/A,"262,389",22%,Lost,N/A,N/A,N/A,Yes,12/20/2021,N/A,No,N/A,N/A,N/A,N/A,N/A,
Kandiss Taylor,Female,White,,,Yes,5/12/2022,Maya,Calls 2020 election illegal,No,Yes,Georgia,5/24/2022,Governor,N/A,"41,232",3%,Lost,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Tom Williams,Male,White,,,N/A,5/12/2022,N/A (they are N/A),,No,Yes,Georgia,5/24/2022,Governor,N/A,"3,255",0%,Lost,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Louie Sanchez,Male,Latino,,,N/A,5/23/2022,N/A (they are N/A),,No,No,New Mexico,6/7/2022,Representative,1,"18,171",41%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Michelle Garcia Holmes,Female,White,,,?,12/1/2022,N/A (checked against interactive),"Sued to impound 2020 ballots; wrote ""People feel their vote wasn't counted in the 2020 election.  I support more transparency, automatic audits, voter ID & consequences for fraud""",No,No,New Mexico,6/7/2022,Representative,1,"25,822",59%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Yvette Herrell,Female,White,Native American (Cherokee),,Yes,12/1/2022,N/A (checked against interactive),Voted not to certify,Yes,No,New Mexico,6/7/2022,Representative,2,1,100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,
Alexis Martinez Johnson,Female,Latino,,,N/A,12/1/2022,N/A (checked against interactive),,No,No,New Mexico,6/7/2022,Representative,3,1,100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jay C. Block,Male,White,,,?,3/2/2023,Nathaniel,Supports audit of 2020,No,No,New Mexico,6/7/2022,Governor,N/A,"12,469",11%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Rebecca L. Dow,Female,White,,,Yes,3/8/2023,Kaleigh,"""Without that election fraud, Donald Trump would be the president""",No,No,New Mexico,6/7/2022,Governor,N/A,"18,185",15%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Gregory Joseph Zanetti,Male,White,,,?,5/23/2022,Maya,Said in debate there was a lot of smoke/questions about 2020,No,No,New Mexico,6/7/2022,Governor,N/A,"16,394",14%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Ethel R. Maharg,Female,White,,,Yes,3/2/2023,Nathaniel,"""She also said she believed Joe Biden was not legitimately elected president, echoing voter fraud claims made by Trump that have not been substantiated on a broad scale.""",No,No,New Mexico,6/7/2022,Governor,N/A,"1,845",2%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mark V. Ronchetti,Male,White,,,Declined to answer,12/1/2022,N/A (checked against interactive),"""Election integrity"" on website not enough for ?, he has ""dodged"" the question",No,No,New Mexico,6/7/2022,Governor,N/A,"68,658",58%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Trent Kelly,Male,White,,,Yes,12/1/2022,N/A (checked against interactive),Voted not to certify the election; justified Jan. 6,Yes,No,Mississippi,6/7/2022,Representative,1,"27,447",90%,Won,N/A,N/A,N/A,Yes,6/5/2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mark D. Strauss,Male,White,,,Yes,3/8/2023,Kaleigh,"""firmly believes the 2020 U.S. presidential election was stolen""; has whole section on his site about it",No,Yes,Mississippi,6/7/2022,Representative,1,"3,109",10%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Michael Carson,Male,White,,,Yes,3/2/2023,Nathaniel,"""I believe Trump won. Election was stolen""",No,No,Mississippi,6/7/2022,Representative,2,"2,966",21%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Ronald Eller,Male,White,,,N/A,3/8/2023,Kaleigh,raised issues of election integrity,No,No,Mississippi,6/7/2022,Representative,2,"4,564",32%,Made runoff,4418,42%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Brian Flowers,Male,White,,,Yes,12/1/2022,N/A (checked against interactive),"attended Stop the Steal rally; identifies as ""MAGA warrior""",No,No,Mississippi,6/7/2022,Representative,2,"6,087",43%,Made runoff,6224,58%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Stanford Johnson,Male,Black,,,N/A,5/20/2022,N/A (they are N/A),,No,No,Mississippi,6/7/2022,Representative,2,487,3%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Michael Cassidy,Male,White,,,?,5/20/2022,Maya,raised issues of election integrity,No,Yes,Mississippi,6/7/2022,Representative,3,"23,407",47%,Made runoff,22713,33%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Thomas Griffin,Male,White,,,N/A,5/20/2022,N/A (they are N/A),,No,Yes,Mississippi,6/7/2022,Representative,3,"2,785",6%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Michael Guest,Male,White,,,No?,12/1/2022,N/A (checked against interactive),"voted not to certify the election on legal grounds (states overstepping authority) and said there was fraud, but that there wasn't enough to change the results",Yes,No,Mississippi,6/7/2022,Representative,3,"23,675",47%,Made runoff,47007,67%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Carl Boyanton,Male,White,,,Yes,3/2/2023,Nathaniel,"answered ""yes"" when asked if he believed the election was stolen",No,Yes,Mississippi,6/7/2022,Representative,4,"3,224",6%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Raymond N. Brooks,Male,Black,,,Yes,3/8/2023,Kaleigh,"has talked about election integrity and fraud, supported J6 defendant; believes election wasn't stolen but some votes were. BUT then told ABC ""After much thought and seeing the evidence presented by all sides of MSM and political parties involved, I believe that Donald Trump was the true winner of the 2020 election.

Due to the overwhelming evidence I have personally seen, I can only conclude that there were too many anomalies and valid evidence to to come to any other conclusion.""",No,Yes,Mississippi,6/7/2022,Representative,4,"2,405",5%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mike Ezell,Male,White,,,N/A,12/1/2022,N/A (checked against interactive),,No,Yes,Mississippi,6/7/2022,Representative,4,"13,020",25%,Made runoff,31225,54%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Steven Palazzo,Male,White,,,Yes,5/20/2022,Maya,voted not to certify and supported a lawsuit to overturn results,Yes,No,Mississippi,6/7/2022,Representative,4,"16,387",31%,Made runoff,26849,46%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kidron Peterson,Male,White,,,Yes,3/2/2023,Nathaniel,"“Everyone can do their own research and come to their own conclusions, you can get out there and find evidence that UFOs exist if you want. … From my own research, I do not believe it was a fair election,”",No,Yes,Mississippi,6/7/2022,Representative,4,449,1%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Clay Wagner,Male,White,,,N/A,5/20/2022,N/A (they are N/A),,No,Yes,Mississippi,6/7/2022,Representative,4,"11,698",22%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Brice Wiggins,Male,White,,,No,3/8/2023,Kaleigh,brought up election integrity but tweeted favorably about report finding no fraud in 2020 election,No,Yes,Mississippi,6/7/2022,Representative,4,"4,859",9%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
